Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
african-kahawa-blend,,,,,,,,,Standard,,,1 LB,,,,,CVARAFRICAN KAHAWA BLEND-ST-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
african-kahawa-blend,,,,,,,,,Standard,,,2 LB,,,,,CVARAFRICAN KAHAWA BLEND-ST-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
african-kahawa-blend,,,,,,,,,Standard,,,5 LB,,,,,CVARAFRICAN KAHAWA BLEND-ST-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
african-kahawa-blend,,,,,,,,,Whole Bean,,,12oz,,,,,CVARAFRICAN KAHAWA BLEND-WH-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
african-kahawa-blend,,,,,,,,,Whole Bean,,,1 LB,,,,,CVARAFRICAN KAHAWA BLEND-WH-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
african-kahawa-blend,,,,,,,,,Whole Bean,,,2 LB,,,,,CVARAFRICAN KAHAWA BLEND-WH-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
african-kahawa-blend,,,,,,,,,Whole Bean,,,5 LB,,,,,CVARAFRICAN KAHAWA BLEND-WH-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
house-blend,House Blend,"A medium roast blend of select coffees from Central and South America that is smooth, clean and consistent for a flavorful cup every time. Features a medium body with tasting notes that include nutty, sweet chocolate, mild citrus and a clean bright finish. These blended coffees are both natural/dry processed and wet mill washed/sun dried. These techniques are friendly to the environment, the rain forests and the living creatures of the high elevation mountains where these coffees are grown.",Mangy Dog Coffee,,"",blend,true,Grind,Espresso,,Size,12oz,,,,,CVARHOUSE BLEND-ES-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0687/4116/9339/files/LABEL2_12oz_on_bag_93512972-dcdd-498a-aab2-fd5f32bd991c.jpg?v=1762966239,1,"",false,,,,oz,,16.40,active
house-blend,,,,,,,,,Espresso,,,1 LB,,,,,CVARHOUSE BLEND-ES-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
house-blend,,,,,,,,,Espresso,,,2 LB,,,,,CVARHOUSE BLEND-ES-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
house-blend,,,,,,,,,Espresso,,,5 LB,,,,,CVARHOUSE BLEND-ES-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
house-blend,,,,,,,,,Standard,,,12oz,,,,,CVARHOUSE BLEND-ST-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
house-blend,,,,,,,,,Standard,,,1 LB,,,,,CVARHOUSE BLEND-ST-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
house-blend,,,,,,,,,Standard,,,2 LB,,,,,CVARHOUSE BLEND-ST-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
house-blend,,,,,,,,,Standard,,,5 LB,,,,,CVARHOUSE BLEND-ST-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
house-blend,,,,,,,,,Whole Bean,,,12oz,,,,,CVARHOUSE BLEND-WH-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
house-blend,,,,,,,,,Whole Bean,,,1 LB,,,,,CVARHOUSE BLEND-WH-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
house-blend,,,,,,,,,Whole Bean,,,2 LB,,,,,CVARHOUSE BLEND-WH-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
house-blend,,,,,,,,,Whole Bean,,,5 LB,,,,,CVARHOUSE BLEND-WH-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
breakfast-blend-2,Breakfast Blend,"A lightly roasted blend of South American coffees that are perfect as an early sunrise roast. Tasting notes include walnuts, mild apple, slight raisin and toffee. Environmentally friendly washed processing and sun dried. This coffee is both partial sun and full sun grown at high mountain elevations.",Mangy Dog Coffee,,"",blend,true,Grind,Espresso,,Size,12oz,,,,,CVARBREAKFAST BLEND-ES-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0687/4116/9339/files/LABEL2_12oz_on_bag_b3cdc89d-3563-47f5-8518-faafd0ae64a8.jpg?v=1762966246,1,"",false,,,,oz,,16.40,active
breakfast-blend-2,,,,,,,,,Espresso,,,1 LB,,,,,CVARBREAKFAST BLEND-ES-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
breakfast-blend-2,,,,,,,,,Espresso,,,2 LB,,,,,CVARBREAKFAST BLEND-ES-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,29.60,
breakfast-blend-2,,,,,,,,,Espresso,,,5 LB,,,,,CVARBREAKFAST BLEND-ES-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
breakfast-blend-2,,,,,,,,,Standard,,,12oz,,,,,CVARBREAKFAST BLEND-ST-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
breakfast-blend-2,,,,,,,,,Standard,,,1 LB,,,,,CVARBREAKFAST BLEND-ST-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
breakfast-blend-2,,,,,,,,,Standard,,,2 LB,,,,,CVARBREAKFAST BLEND-ST-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,29.60,
breakfast-blend-2,,,,,,,,,Standard,,,5 LB,,,,,CVARBREAKFAST BLEND-ST-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
breakfast-blend-2,,,,,,,,,Whole Bean,,,12oz,,,,,CVARBREAKFAST BLEND-WH-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
breakfast-blend-2,,,,,,,,,Whole Bean,,,1 LB,,,,,CVARBREAKFAST BLEND-WH-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
breakfast-blend-2,,,,,,,,,Whole Bean,,,2 LB,,,,,CVARBREAKFAST BLEND-WH-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,29.60,
breakfast-blend-2,,,,,,,,,Whole Bean,,,5 LB,,,,,CVARBREAKFAST BLEND-WH-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
gourmet-donut-shop,Gourmet Donut Shop,"A light-medium roast coffee blend featuring coffees with tasting notes that include cocoa, caramel, toffee and mild fruits. A perfectly balanced morning coffee that offers a stronger flavor when compared to the lighter breakfast blends.",Mangy Dog Coffee,,"",blend,true,Grind,Espresso,,Size,12oz,,,,,CVARGOURMET DONUT SHOP-ES-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0687/4116/9339/files/LABEL2_12oz_on_bag_a9ccaad1-ad56-4fde-bef8-f6330bf79eb4.jpg?v=1762966251,1,"",false,,,,oz,,16.40,active
gourmet-donut-shop,,,,,,,,,Espresso,,,1 LB,,,,,CVARGOURMET DONUT SHOP-ES-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
gourmet-donut-shop,,,,,,,,,Espresso,,,2 LB,,,,,CVARGOURMET DONUT SHOP-ES-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
gourmet-donut-shop,,,,,,,,,Espresso,,,5 LB,,,,,CVARGOURMET DONUT SHOP-ES-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
gourmet-donut-shop,,,,,,,,,Standard,,,12oz,,,,,CVARGOURMET DONUT SHOP-ST-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
gourmet-donut-shop,,,,,,,,,Standard,,,1 LB,,,,,CVARGOURMET DONUT SHOP-ST-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
gourmet-donut-shop,,,,,,,,,Standard,,,2 LB,,,,,CVARGOURMET DONUT SHOP-ST-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
gourmet-donut-shop,,,,,,,,,Standard,,,5 LB,,,,,CVARGOURMET DONUT SHOP-ST-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
gourmet-donut-shop,,,,,,,,,Whole Bean,,,12oz,,,,,CVARGOURMET DONUT SHOP-WH-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
gourmet-donut-shop,,,,,,,,,Whole Bean,,,1 LB,,,,,CVARGOURMET DONUT SHOP-WH-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
gourmet-donut-shop,,,,,,,,,Whole Bean,,,2 LB,,,,,CVARGOURMET DONUT SHOP-WH-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
gourmet-donut-shop,,,,,,,,,Whole Bean,,,5 LB,,,,,CVARGOURMET DONUT SHOP-WH-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
french-roast,French Roast,"A deep dark roast of our highest scoring African coffees offering a bold, rich coffee flavor. The beans are shiny with an oil sheen and offer a bittersweet flavor with low acidity.",Mangy Dog Coffee,,"",blend,true,Grind,Espresso,,Size,12oz,,,,,CVARFRENCH ROAST-ES-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0687/4116/9339/files/LABEL2_12oz_on_bag_ab45b4a7-01ae-4be2-8ae2-e208e7d65583.jpg?v=1762966259,1,"",false,,,,oz,,16.65,active
french-roast,,,,,,,,,Espresso,,,1 LB,,,,,CVARFRENCH ROAST-ES-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.53,
french-roast,,,,,,,,,Espresso,,,2 LB,,,,,CVARFRENCH ROAST-ES-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,30.10,
french-roast,,,,,,,,,Espresso,,,5 LB,,,,,CVARFRENCH ROAST-ES-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,64.00,
french-roast,,,,,,,,,Standard,,,12oz,,,,,CVARFRENCH ROAST-ST-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.65,
french-roast,,,,,,,,,Standard,,,1 LB,,,,,CVARFRENCH ROAST-ST-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.53,
french-roast,,,,,,,,,Standard,,,2 LB,,,,,CVARFRENCH ROAST-ST-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,30.10,
french-roast,,,,,,,,,Standard,,,5 LB,,,,,CVARFRENCH ROAST-ST-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,64.00,
french-roast,,,,,,,,,Whole Bean,,,12oz,,,,,CVARFRENCH ROAST-WH-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.65,
french-roast,,,,,,,,,Whole Bean,,,1 LB,,,,,CVARFRENCH ROAST-WH-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.53,
french-roast,,,,,,,,,Whole Bean,,,2 LB,,,,,CVARFRENCH ROAST-WH-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,30.10,
french-roast,,,,,,,,,Whole Bean,,,5 LB,,,,,CVARFRENCH ROAST-WH-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,64.00,
italian-roast-1,Italian Roast,"An extra dark oily roast made from Central American coffees for deep, heavy coffee flavor. Origin characteristics are diminished and acidity is non-existent.",Mangy Dog Coffee,,"",blend,true,Grind,Espresso,,Size,12oz,,,,,CVARITALIAN ROAST-ES-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0687/4116/9339/files/LABEL2_12oz_on_bag_4f14ffd4-13ef-42df-a619-796fe474f5e0.jpg?v=1762966269,1,"",false,,,,oz,,16.65,active
italian-roast-1,,,,,,,,,Espresso,,,1 LB,,,,,CVARITALIAN ROAST-ES-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.53,
